chapter_no,chapter_title,repo_status,represented_sections,tracked_key_theorems,proved_tracked_theorems,missing_core_groups,completion_read,proved_key_theorem_groups,remaining_core_groups,evidence_source,notes
18,B-Trees,partial,18.1;18.2;18.3,57,57,1,First-pass mathematical B-tree model represented,Search correctness direct base search success/failure wrappers minimum-key height expression base positivity recurrence and height monotonicity split-child direct validity membership/search preservation direct split old-key and failed-membership corollaries insertion/deletion membership direct insertion/deletion validity short-name wrappers equality-key update-query wrappers successful and unsuccessful search-after-update specs membership-driven search-after-update wrappers and direct inserted/deleted-key old-key query preservation old failed-search preservation wrappers failed-membership corollaries and direct failed-membership preservation wrappers,Full occupancy/separator/same-depth invariant stack node-level deletion repair and disk-page semantics,CLRSLean/Chapter_18.lean; Tests/Chapter_18_Interface.lean,Insertion and deletion are specification-level rather than pointer/page mutation.
19,Fibonacci Heaps,partial,19.1,89,89,1,Abstract finite-set Fibonacci heap model represented,Make-heap valid make-heap empty-minimum potential-zero potential-nonnegative minimum membership lower-bound and empty-result wrappers direct minimum/extract-min empty-result wrappers insert valid and insert-membership insert-self insert-old insert-failed-membership insert-minimum direct membership/lower-bound wrappers insert-empty-minimum union valid and union-membership union-left union-right union-failed-membership union-minimum direct membership/lower-bound wrappers union-empty-minimum extract-min valid and extract-min-membership extract-min-removed extract-min-old-key-preservation extract-min-failed-membership empty-extract-min remaining-minimum direct membership/lower-bound wrappers remaining-empty-minimum decrease-key valid and decrease-key-membership decrease-key-new decrease-key-old-key-preservation decrease-key-failed-membership decrease-key-minimum direct membership/lower-bound wrappers decrease-key-empty-minimum delete valid and delete-membership delete-removed delete-old-key-preservation delete-failed-membership direct failed-membership preservation wrappers delete-minimum direct membership/lower-bound wrappers delete-empty-minimum potential telescoping Fibonacci lower-bound recurrence positivity monotonicity two-step doubling even-index and half-index power-of-two lower bounds conditional degree-to-log wrappers and conservative degree budget,Pointer forest cascading cuts consolidation arrays duplicate handles subtree-size induction and true Fibonacci logarithmic degree theorem,CLRSLean/Chapter_19.lean; Tests/Chapter_19_Interface.lean,Potential theorem instantiates Chapter 17; degree bound is conservative.
20,van Emde Boas Trees,partial,20.1;20.2,114,114,1,First-pass vEB decomposition and finite-set operation spec represented,High-low-index reconstruction bounded recomposition and universe-closure arithmetic member min max successor predecessor successful-query universe bounds empty extrema/successor/predecessor cases direct extrema membership lower/upper-bound wrappers direct extrema empty-result wrappers direct update-extrema membership/order wrappers direct base/insert/delete neighbor membership/order wrappers insert delete membership-after-update direct updated-key old-key preservation failed member-query corollaries and direct failed member-query preservation wrappers direct no-neighbor query wrappers premise-light no-neighbor wrappers over old represented sets extrema-after-update positive and empty-result specs positive and no-neighbor update-neighbor-query specs update-query universe-bound wrappers and operation-depth base/step/linear/monotonicity wrappers,Recursive summary/cluster representation and asymptotic O(log log u) bridge,CLRSLean/Chapter_20.lean; Tests/Chapter_20_Interface.lean,Current model is set-specification layer with side-length arithmetic.
21,Data Structures for Disjoint Sets,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,Union-find correctness was intentionally deferred for MST work.
22,Elementary Graph Algorithms,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_22 module exists.
23,Minimum Spanning Trees,partial,23.1;23.2,31,31,3,Mathematical Kruskal/cut-property stack largely built; Prim and automation missing,Cut property; safe edge theorem; exchange certificates; exact-component Kruskal scan; finite-graph spanning-tree and optimality wrappers; cycle-test optimality wrapper,Automatic finite path/cycle exchange extraction; prefix-local sorted-lightness wrapper inside full recursive optimality; Prim theorem interface/proof,CLRSLean/Chapter_23.lean; CLRSLean/Status.lean,Union-find implementation correctness remains intentionally out of scope for now.
24,Single-Source Shortest Paths,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_24 module exists.
25,All-Pairs Shortest Paths,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_25 module exists.
26,Maximum Flow,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_26 module exists.
27,Multithreaded Algorithms,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_27 module exists.
28,Matrix Operations,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_28 module exists.
29,Linear Programming,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_29 module exists.
30,Polynomials and the FFT,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_30 module exists.
31,Number-Theoretic Algorithms,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_31 module exists.
32,String Matching,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_32 module exists.
33,Computational Geometry,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_33 module exists.
34,NP-Completeness,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_34 module exists.
35,Approximation Algorithms,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_35 module exists.
